5Vertices_15Tracks	SA	1	1	10000	10	0.6668481564392177	0.1114117146682012	0.3508760756698133	7.0440136998666976	2.0036150381591402	71.7687260000000009
5Vertices_15Tracks	DA	1	1	10000	10	0.9442494017332947	0.0274704664535935	3.6450552668701293	1.2391744374935401	0.1796564045209068	186.1399999999999864
5Vertices_15Tracks	SA	1	1	10000	50	0.9168776056229391	0.0660783288606937	0.4132919563455078	5.1343661249669932	1.0629686028945842	282.8760699999999702
5Vertices_15Tracks	DA	1	1	10000	50	0.9875008131415706	0.0106365374459002	9.9999999984448440	0.8722466306987554	0.1198828930092758	476.2099999999999795
5Vertices_15Tracks	SA	1	1	10000	100	0.9218148976477165	0.0618608980760789	0.4837635428098256	4.2004309989893471	0.9062969856466377	588.2907500000000027
5Vertices_15Tracks	DA	1	1	10000	100	0.9833776298754175	0.0135700582118051	3.5349072094991825	1.1853561330153546	0.2272679735040155	818.5299999999999727
5Vertices_15Tracks	SA	1	1	10000	150	0.9045021511801105	0.0582339521151507	0.5817704077763511	3.5930370901882611	0.8011148986799023	843.9696000000000140
5Vertices_15Tracks	DA	1	1	10000	150	0.9833776298754175	0.0133357672926826	3.5349072094991825	1.1853561330153546	0.2245950117861093	1078.5099999999999909
4Vertices_20Tracks	SA	1	1	10000	10	0.5107556958190214	0.0247389263612108	0.6520984061545301	3.2239205872442067	0.7143256611047232	81.4024189999999948
4Vertices_20Tracks	DA	1	1	10000	10	0.9666712903509772	0.0200604696591086	2.5867423215101999	1.0763012522440696	0.2087867547419929	144.0200000000000102
4Vertices_20Tracks	SA	1	1	10000	50	0.9068088107184308	0.0246199338470256	1.3299307321175711	2.0921963846365195	0.3374250691686499	334.2741700000000264
4Vertices_20Tracks	DA	1	1	10000	50	0.9999967174551101	0.0002831719412588	1.8803247632044444	1.0729712931142830	0.2380674629569432	396.1299999999999955
4Vertices_20Tracks	SA	1	1	10000	100	0.9532014459232918	0.0188738915719400	1.3835909110754705	1.8664464836425045	0.2442949464735969	630.9935200000001032
4Vertices_20Tracks	DA	1	1	10000	100	0.9999999999999999	0.0000001565026803	9.9539387022964192	0.8243035214129810	0.0785879088603854	641.8300000000000409
4Vertices_20Tracks	SA	1	1	10000	150	0.9642478480828200	0.0164784808431249	1.4090840961635476	1.7589524422149891	0.2295721924377380	933.1815999999998894
